,cutoff,epoch,validation_NDCG,validation_hit,test_NDCG,test_hit
0,5,50,0.2646167614400687,0.3669,0.18866882073450839,0.2875
0,6,50,0.27708226066870695,0.3987,0.20021360058328105,0.321
0,7,50,0.28143170025287106,0.4154,0.21129079815481733,0.3364
0,8,50,0.28357563530079544,0.4384,0.20912398274633862,0.3525
0,9,50,0.2939707117964536,0.4478,0.22081269473552612,0.3892
0,10,50,0.2991391697175399,0.4689,0.2247439515695267,0.4012
0,11,50,0.29014136186775563,0.4799,0.23289191172831192,0.4083
0,12,50,0.30875560677443975,0.4939,0.24091490165389523,0.4356
0,13,50,0.3081386614824844,0.5142,0.24250892117313902,0.4554
0,14,50,0.3013810886174562,0.5133,0.24237353966749656,0.4636
0,15,50,0.3038416665848143,0.5329,0.25191620790378494,0.4849
