,epoch,step,loss
0,1,321,1.0551528930664062
0,2,321,0.7783485054969788
0,3,321,0.7113786935806274
0,4,321,0.6783691644668579
0,5,321,0.6346913576126099
0,6,321,0.6398903131484985
0,7,321,0.5588349103927612
0,8,321,0.5375301837921143
0,9,321,0.5260921120643616
0,10,321,0.5875609517097473
0,11,321,0.510680079460144
0,12,321,0.5229107141494751
0,13,321,0.4790811538696289
0,14,321,0.4683498740196228
0,15,321,0.4688457250595093
0,16,321,0.46044978499412537
0,17,321,0.4898696541786194
0,18,321,0.5153005719184875
0,19,321,0.48400628566741943
0,20,321,0.47062528133392334
0,21,321,0.452924907207489
0,22,321,0.47972822189331055
0,23,321,0.47597604990005493
0,24,321,0.46625256538391113
0,25,321,0.40427500009536743
0,26,321,0.48634395003318787
0,27,321,0.38062238693237305
0,28,321,0.36929982900619507
0,29,321,0.4403746426105499
0,30,321,0.4426804184913635
0,31,321,0.4151725471019745
0,32,321,0.4710167646408081
0,33,321,0.4198744297027588
0,34,321,0.4072111248970032
0,35,321,0.41917407512664795
0,36,321,0.37100499868392944
0,37,321,0.4004392921924591
0,38,321,0.4228178560733795
0,39,321,0.42320016026496887
0,40,321,0.39837226271629333
0,41,321,0.3674811124801636
0,42,321,0.41839897632598877
0,43,321,0.37164533138275146
0,44,321,0.435921847820282
0,45,321,0.42099839448928833
0,46,321,0.4141712784767151
0,47,321,0.33807164430618286
0,48,321,0.40610426664352417
0,49,321,0.35979026556015015
0,50,321,0.42640864849090576
